food,optimal_temp_c,humidity_percent,max_storage_days,category
Oats Organic,18,63,208,Grains
Salmon Premium,-2,97,11,Seafood
Jam Premium,4,67,186,Condiments
Soup,4,89,3,Prepared Food
Crab Fresh,-3,100,1,Seafood
Tuna Organic,-3,92,10,Seafood
Frozen Chicken Sweet,-19,63,322,Frozen
Tuna,-3,95,6,Seafood
Cod Spicy,-3,100,11,Seafood
Frozen Peas Fresh,-16,56,319,Frozen
Sauce,4,68,187,Condiments
Quinoa Local,21,64,206,Grains
Pickle Spicy,2,65,179,Condiments
Bun Organic,19,63,2,Bakery
Cheese Imported,6,90,23,Dairy
Noodles Imported,4,84,4,Prepared Food
Soup Imported,4,81,14,Prepared Food
Fried Rice Organic,2,83,2,Prepared Food
Paneer Premium,3,82,30,Dairy
Goat Fresh,0,87,11,Meat
Mango Spicy,3,87,16,Fruit
Ketchup Imported,5,71,185,Condiments
Oats,18,60,205,Grains
Grapes Organic,5,86,22,Fruit
Potato Sweet,-1,94,17,Vegetable
Donut Premium,20,58,7,Bakery
Goat Organic,2,93,3,Meat
Butter Imported,5,83,25,Dairy
Turkey Spicy,-1,88,12,Meat
Paneer Sweet,3,81,17,Dairy
Lobster Fresh,-2,100,11,Seafood
Mango Spicy,3,88,15,Fruit
Frozen Pizza Sweet,-20,58,324,Frozen
Paneer,6,82,29,Dairy
Grapes Premium,5,90,16,Fruit
Pastry Premium,18,60,1,Bakery
Ketchup Spicy,3,71,183,Condiments
Sardine Fresh,-2,100,2,Seafood
Donut Imported,21,61,14,Bakery
Frozen Peas Premium,-16,65,324,Frozen
Pastry Imported,21,62,7,Bakery
Butter Imported,5,84,23,Dairy
Tomato Imported,1,98,17,Vegetable
Cake Imported,21,62,13,Bakery
Chicken Premium,-2,91,7,Meat
Mayonnaise Spicy,4,71,178,Condiments
Lamb Premium,-2,94,5,Meat
Pastry Local,19,65,8,Bakery
Duck,-2,87,2,Meat
Paneer Organic,4,86,17,Dairy
Spinach Sweet,3,96,17,Vegetable
Sauce Premium,5,69,187,Condiments
Duck Imported,-1,95,8,Meat
Pickle Fresh,3,75,190,Condiments
Frozen Corn Sweet,-16,55,330,Frozen
Bun Premium,20,56,9,Bakery
Shrimp Imported,-2,91,0,Seafood
Sauce,4,70,184,Condiments
Fried Rice Spicy,5,81,12,Prepared Food
Ketchup Fresh,3,69,177,Condiments
Frozen Pizza,-19,55,322,Frozen
Frozen Fish Local,-16,61,329,Frozen
Frozen Chicken Fresh,-16,55,317,Frozen
Barley Fresh,20,61,203,Grains
Noodles Fresh,6,85,5,Prepared Food
Sandwich Sweet,2,84,3,Prepared Food
Butter Spicy,3,80,28,Dairy
Beef Premium,2,91,11,Meat
Peach Sweet,2,88,17,Fruit
Sardine Organic,-2,92,5,Seafood
Jam Premium,5,70,185,Condiments
Spinach Fresh,3,96,14,Vegetable
Yogurt Local,6,82,21,Dairy
Sardine Spicy,-1,94,5,Seafood
Quinoa Sweet,19,63,209,Grains
Sauce Sweet,4,66,184,Condiments
Mayonnaise Sweet,5,70,186,Condiments
Carrot Organic,0,93,24,Vegetable
Milk Spicy,2,86,18,Dairy
Ketchup,6,74,189,Condiments
Milk Premium,5,90,23,Dairy
Frozen Peas,-16,56,319,Frozen
Butter Fresh,6,87,25,Dairy
Bun Local,22,59,8,Bakery
Millet Local,19,56,207,Grains
Millet Sweet,21,60,200,Grains
Ketchup Organic,2,73,178,Condiments
Pasta Local,2,86,8,Prepared Food
Frozen Fish Sweet,-20,61,318,Frozen
Mayonnaise Local,3,74,183,Condiments
Frozen Corn,-20,65,326,Frozen
Pear Organic,4,90,28,Fruit
Jam Spicy,2,75,178,Condiments
Quinoa Sweet,19,65,199,Grains
Cream Organic,5,88,19,Dairy
Frozen Pizza Spicy,-19,62,321,Frozen
Tuna,1,90,10,Seafood
Chicken Premium,1,85,14,Meat
Frozen Fish Imported,-19,62,327,Frozen
Frozen Corn Fresh,-19,56,325,Frozen
Cake Local,18,59,3,Bakery
Pasta,5,80,10,Prepared Food
Plum Fresh,3,93,21,Fruit
Yogurt Local,4,86,28,Dairy
Quinoa Sweet,21,60,197,Grains
Pear Spicy,3,86,24,Fruit
Quinoa Fresh,20,56,203,Grains
Jam Imported,3,66,180,Condiments
Cabbage Spicy,1,91,14,Vegetable
Soup Local,5,84,15,Prepared Food
Milk Premium,3,88,29,Dairy
Cake Imported,20,56,5,Bakery
Frozen Fish,-20,60,319,Frozen
Mayonnaise Spicy,2,70,190,Condiments
Lobster Premium,-2,91,12,Seafood
Chicken Sweet,-2,87,2,Meat
Lamb Imported,-2,90,11,Meat
Frozen Fish Premium,-17,60,319,Frozen
Onion Fresh,1,96,14,Vegetable
Shrimp,-2,99,2,Seafood
Tuna Organic,-1,99,3,Seafood
Frozen Corn Fresh,-18,59,322,Frozen
Onion Fresh,0,91,17,Vegetable
Broccoli,-1,94,22,Vegetable
Onion,-1,92,22,Vegetable
Lobster Imported,1,94,6,Seafood
Curry Imported,2,84,10,Prepared Food
Onion Fresh,1,92,23,Vegetable
Frozen Chicken Sweet,-17,59,328,Frozen
Jam Sweet,6,70,184,Condiments
Rice,20,55,197,Grains
Frozen Chicken,-16,59,325,Frozen
Wheat,20,64,203,Grains
Tuna Fresh,-3,99,6,Seafood
Frozen Chicken Fresh,-18,56,328,Frozen
Cake Organic,20,60,7,Bakery
Wheat Fresh,18,59,210,Grains
Goat Sweet,-1,94,11,Meat
Frozen Chicken,-19,60,318,Frozen
Pickle Imported,2,65,180,Condiments
Pickle Spicy,5,69,183,Condiments
Bun Imported,20,65,12,Bakery
Rice Spicy,22,57,200,Grains
Rice Imported,18,64,198,Grains
Tuna,-1,90,11,Seafood
Cream Fresh,6,86,28,Dairy
Frozen Peas Spicy,-20,59,327,Frozen
Sandwich Premium,2,87,13,Prepared Food
Pastry,21,63,2,Bakery
Oats Sweet,22,59,197,Grains
Lettuce Spicy,1,90,14,Vegetable
Bun Fresh,21,59,12,Bakery
Frozen Peas Organic,-20,61,321,Frozen
Cod Fresh,-2,100,3,Seafood
Bread Local,20,60,6,Bakery
Oats,18,56,199,Grains
Sauce Premium,6,73,177,Condiments
Cream Spicy,6,81,25,Dairy
Pork Organic,0,92,11,Meat
Carrot Premium,2,98,17,Vegetable
Broccoli,-1,98,24,Vegetable
Frozen Corn Spicy,-19,62,325,Frozen
Pear Spicy,5,88,24,Fruit
Plum,3,89,24,Fruit
Chicken Local,2,86,7,Meat
Frozen Pizza Local,-16,60,327,Frozen
Cake Imported,21,63,4,Bakery
Bread Local,19,63,10,Bakery
Cake Fresh,20,55,4,Bakery
Lobster Premium,-3,99,0,Seafood
Mayonnaise,2,75,177,Condiments
Salmon,0,95,7,Seafood
Donut Fresh,21,65,3,Bakery
Paneer Organic,4,83,21,Dairy
Oats Spicy,21,57,199,Grains
Curry Imported,6,83,5,Prepared Food
Cheese Imported,2,90,29,Dairy
Donut Imported,20,57,8,Bakery
Sauce,3,71,187,Condiments
Frozen Chicken Organic,-18,63,318,Frozen
Wheat Organic,21,55,206,Grains
Sauce Organic,6,69,186,Condiments
Butter Organic,6,87,23,Dairy
Tomato Imported,2,92,15,Vegetable
Cheese Sweet,5,86,20,Dairy
Bun Imported,18,60,1,Bakery
Cheese,6,89,18,Dairy
Sauce Sweet,2,75,190,Condiments
Donut Spicy,22,58,2,Bakery
Duck Fresh,1,93,5,Meat
Rice Premium,19,58,208,Grains
Pastry Spicy,21,62,8,Bakery
Frozen Corn Imported,-20,60,317,Frozen
Mayonnaise Sweet,2,72,188,Condiments
Millet Sweet,22,64,210,Grains
Pickle Organic,4,65,190,Condiments
Rice Sweet,22,62,208,Grains
Shrimp Fresh,-3,90,0,Seafood
Pickle Spicy,6,75,178,Condiments
Peach Local,1,92,15,Fruit
Pork Organic,-2,87,4,Meat
Sardine Spicy,-3,98,8,Seafood
Potato Organic,-1,99,21,Vegetable
Mayonnaise Spicy,3,65,188,Condiments
Donut Organic,18,56,2,Bakery
Jam Spicy,6,75,181,Condiments
Pasta Spicy,2,85,14,Prepared Food
Soup,4,83,4,Prepared Food
Pickle Spicy,3,69,178,Condiments
Turkey Premium,0,93,4,Meat
Yogurt,6,90,22,Dairy
Plum Imported,5,85,28,Fruit
Fried Rice Local,4,88,4,Prepared Food
Bread Premium,18,57,8,Bakery
Fried Rice Local,4,81,14,Prepared Food
Plum Organic,5,85,20,Fruit
Pastry Sweet,20,62,6,Bakery
Onion Spicy,-1,94,21,Vegetable
Oats Fresh,19,56,201,Grains
Bun Organic,20,60,7,Bakery
Cabbage,2,98,15,Vegetable
Tomato Spicy,2,100,19,Vegetable
Broccoli Imported,3,100,22,Vegetable
Donut Premium,22,59,2,Bakery
Lettuce Organic,3,94,21,Vegetable
Sauce Organic,5,67,189,Condiments
Pasta Fresh,2,81,11,Prepared Food
Donut,21,58,10,Bakery
Frozen Corn Sweet,-19,64,319,Frozen
Cod Organic,-2,92,8,Seafood
Bun Imported,20,55,10,Bakery
Bun Fresh,20,63,13,Bakery
Frozen Fish Organic,-17,64,329,Frozen
Pastry Premium,20,59,8,Bakery
Cheese Organic,4,81,17,Dairy
Peach Imported,1,94,22,Fruit
Rice Sweet,20,58,209,Grains
Frozen Chicken Imported,-16,60,322,Frozen
Spinach Spicy,1,91,24,Vegetable
Ketchup,2,69,184,Condiments
Chicken Imported,-1,94,8,Meat
Pasta Premium,3,81,2,Prepared Food
Soup Organic,6,89,3,Prepared Food
Pork Local,-1,94,5,Meat
Pasta Imported,4,87,13,Prepared Food
Chicken Fresh,0,90,10,Meat
Cod Premium,1,97,11,Seafood
Butter Sweet,3,85,30,Dairy
Plum Imported,3,87,25,Fruit
Butter Premium,3,87,27,Dairy
Lamb Spicy,2,92,8,Meat
Frozen Corn Sweet,-17,65,325,Frozen
Spinach Fresh,0,93,21,Vegetable
Quinoa Spicy,21,60,210,Grains
Shrimp Sweet,-3,95,13,Seafood
Soup Local,2,88,12,Prepared Food
Sauce Premium,4,69,188,Condiments
Banana Imported,4,93,28,Fruit
Goat Sweet,-2,86,15,Meat
Sandwich Spicy,5,89,3,Prepared Food
Pear Fresh,3,85,17,Fruit
Jam Local,2,66,189,Condiments
Cabbage Spicy,2,94,19,Vegetable
Noodles Premium,3,82,6,Prepared Food
Pear Sweet,2,89,18,Fruit
Duck,0,88,6,Meat
Barley Premium,21,64,199,Grains
Sandwich Fresh,6,83,11,Prepared Food
Turkey Imported,-2,91,3,Meat
Banana Sweet,3,90,21,Fruit
Kiwi Organic,1,89,19,Fruit
Plum Fresh,1,95,24,Fruit
Goat Imported,1,93,7,Meat
Cream Fresh,4,88,22,Dairy
Fried Rice Local,6,81,11,Prepared Food
